15,AVIS RENT A CAR,S,RUTA 101 KILOMETRO 19950 - AEROPUERTO DE CARRASCO LOCAL 117,,,,AEROPUERTO,CANELONES,26838383,,,,avis@avis.com.uy,www.avis.com.uy,,,-32.620800,-55.612700,,,,,,,,,15,5576954
15,AVIS RENT A CAR,S,RUTA 101 KILOMETRO 19950 - AEROPUERTO DE CARRASCO LOCAL 114 HALL DE ARRIBOS,,,,AEROPUERTO,CANELONES,26838383,,,,avis@avis.com.uy,www.avis.com.uy,,,-32.620800,-55.612700,,,,,,,,,15,5583323
31,DOLLAR RENT A CAR,S,RUTA 101 NUMERO 3858,,,,AEROPUERTO,CANELONES,26828350,,,,reservas@dollar.com.uy,www.dollar.com.uy,,,-32.620800,-55.612700,,,,,,,,,31,547232
212,EUROPCAR,S,AEROPUERTO INTERNACIONAL DE CARRASCO HALL ARRIBOS,,,,AEROPUERTO,CANELONES,26040350,,,,,,,,-32.620800,-55.612700,,,,,,,,,212,104327
28,MULTICAR RENT A CAR,S,FRANCISCO BOLILLA ESQUINA RUTA 101,,,,AEROPUERTO,CANELONES,,,,099660959,,www.redmulticar.com,,,-32.620800,-55.612700,,,,,,,,,28,40641
61,THRIFTY CAR RENTAL,S,RUTA 101 -3858,,,,AEROPUERTO,CANELONES,18488,,,,flota@thrifty.com.uy,www.thrifty.com.uy,,,-32.620800,-55.612700,,,,,,,,,61,5111949
435,KIA CARRASCO,M,AV ITALIA 7724 BIS,,,,BARRA CARRASCO,CANELONES,26060202,26060663,,097403235,contacto@kiacarrasco.com.uy,www.kiacarrasco.com.uy,,,-32.620800,-55.612700,,,,,,,,,435,6372760
427,ELON,M,RUTA 101 KILOMETRO 26,,,,BARROS BLANCOS,CANELONES,097385769,,,,info@elen.com.uy,www.elon.com.uy,,,-32.620800,-55.612700,,,,,,,,,427,6225702
446,M RENT A CAR,M,RUTA 8 KM 24500,,,,BARROS BLANCOS,CANELONES,092195244,,,,nati.masantiautomoviles@gmail.com,,,,-32.620800,-55.612700,,,,,,,,,446,6827229
438,NO DECLARA,M,RUTA 1B KM 21400,,,,COLONIA NICOLICH,CANELONES,098439900,098439911,,,reservas@localiza.com.uy,www.localiza.com.uy,,,-32.620800,-55.612700,,,,,,,,,438,6375747
228,ALAMO RENT A CAR & NATIONAL CAR RENTAL,S,RUTA GENERAL LIBER SEREGNI MANZANA 63 SOLAR 14,,,,LAGOMAR,CANELONES,26816863,,,,reservasalamo@olecram.com.uy,www.alamouruguay.com,,,-34.823056,-55.992222,,,,,,,,,228,2909850
407,LEOTUR RENT A CAR,M,DR ENRIQUE POUEY 759 BIS,,,,LAS PIEDRAS,CANELONES,23647894,,,099091649,lyon.bur@gmail.com,www.alquiladoraleotur.com,,,-32.620800,-55.612700,,,,,,,,,407,5108621
410,GOLDCAR,M,AVENIDA DE LAS AMERICAS 4922,,,,PARQUE MIRAMAR,CANELONES,26010531,,,094179173,reservas@goldcar.com.uy,www.goldcar.com.uy,,,-32.620800,-55.612700,,,,,,,,,410,5123790
224,MARIÑO SPORT RENT A CAR,S,AVENIDA DE LAS AMERICAS 5004 BIS,,,,PARQUE MIRAMAR,CANELONES,,,,,mirelma@mariniosport.com,www.mariniosport.com,,,-32.620800,-55.612700,,,,,,,,,224,4589257
20,PUNTACAR,S,AVENIDA DE LAS AMERICAS 8239,,,,PARQUE MIRAMAR,CANELONES,26041111,,,,aeropuerto@puntacar.com.uy,www.puntacar.com.uy,,,-32.620800,-55.612700,,,,,,,,,20,1622890
212,EUROPCAR,M,AVENIDA DE LAS AMERICAS S/N ESQUINA CAMINO CARRASCO,,,,PASO CARRASCO,CANELONES,26041433,,,099175235,reservas@europcar.com.uy,www.europcar.com.uy,,,-32.620800,-55.612700,,,,,,,,,212,13446
253,POTENZA RENT A CAR,M,WILSON FERREIRA ALDUNATE (EX CAMINO CARRASCO) 151,,,,PASO CARRASCO,CANELONES,26015205,,,097965549,ventas@potenzarentacar.com.uy,www.potenzarentacar.com.uy,,,-32.620800,-55.612700,,,,,,,,,253,11331
442,LUAN RENTACAR,M,PROGRESO PADRÓN 2699,,,,PROGRESO,CANELONES,23691833,,,096691834,luanrentacar@gmail.com,,,,-32.620800,-55.612700,,,,,,,,,442,6812168
282,PROGRESO ALQUILAUTO,M,VIA PUBLICA 20 METROS KILOMETRO 28 ENTRE RUTA 5 VIEJA Y VIA FERREA,,,,PROGRESO,CANELONES,23689002,,,098349773,progresoal5566@yahoo.com,,,,-32.620800,-55.612700,,,,,,,,,282,83889
255,V&O RIO,M,SARANDI 30,,,,SANTA LUCIA,CANELONES,43345122,,,099710662,vyorentacar@adinet.com.uy,,,,-32.620800,-55.612700,,,,,,,,,255,13893
15,AVIS RENT A CAR/BUDGET RENT A CAR,M,RUTA INTERBALNEARIA KILOMETRO 22 ESQUINA CALLE MORELOS,,,,SANTA TERESITA,CANELONES,26838383,,,,avis@avis.com.uy,www.avis.com.uy,,,-34.902500,-56.186000,,,,,,,,,15,11400
